contest,handle,finding,risk,score,pie,split,slice,award,awardCoin,awardUSD
2,pauliax,G-05,g,,0.9,2,0.45,0.1323529412,ETH,238.24
2,0xRajeev,H-06,3,,10,1,10,1.873167808,ETH,3371.7
2,maurelian,H-07,3,,8.1,3,2.7,0.5057553081,ETH,910.36
2,maurelian,L-08,1,,0.81,3,0.27,0.05057553081,ETH,91.04
2,0xRajeev,L-11,1,,1,1,1,0.1873167808,ETH,337.17
2,0xRajeev,M-03,2,,3,1,3,0.5619503423,ETH,1011.51
2,0xRajeev,M-04,2,,3,1,3,0.5619503423,ETH,1011.51
2,maurelian,M-06,2,,3,1,3,0.5619503423,ETH,1011.51
2,maurelian,M-07,2,,3,1,3,0.5619503423,ETH,1011.51
2,0xRajeev,N-01,0,,0,0,0,0,ETH,0
2,maurelian,G-01,g,,0.9,2,0.45,0.1323529412,ETH,238.24
2,0xRajeev,G-05,g,,0.9,2,0.45,0.1323529412,ETH,238.24
2,s1m0,H-07,3,,8.1,3,2.7,0.5057553081,ETH,910.36
2,s1m0,M-01,2,,2.7,2,1.35,0.252877654,ETH,455.18
2,s1m0,M-02,2,,2.7,2,1.35,0.252877654,ETH,455.18
2,s1m0,G-07,g,,1,1,1,0.2941176471,ETH,529.41
3,pauliax,G-01,g,,1,1,1,1250,USDC,1250
3,pauliax,G-02,g,,1,1,1,1250,USDC,1250
3,pauliax,G-03,g,,1,1,1,1250,USDC,1250
3,pauliax,G-04,g,,1,1,1,1250,USDC,1250
3,pauliax,G-05,g,,1,1,1,1250,USDC,1250
3,pauliax,G-06,g,,1,1,1,1250,USDC,1250
3,pauliax,G-07,g,,1,1,1,1250,USDC,1250
3,pauliax,G-08,g,,1,1,1,1250,USDC,1250
3,pauliax,H-04,3,,10,1,10,2616.088947,USDC,2616.09
3,pauliax,H-10,3,,10,1,10,2616.088947,USDC,2616.09
3,pauliax,L-09,1,,0.9,2,0.45,117.7240026,USDC,117.72
3,pauliax,L-10,1,,1,1,1,261.6088947,USDC,261.61
3,pauliax,L-11,1,,1,1,1,261.6088947,USDC,261.61
3,pauliax,M-07,2,,3,1,3,784.8266841,USDC,784.83
3,pauliax,M-08,2,,3,1,3,784.8266841,USDC,784.83
3,pauliax,M-09,2,,3,1,3,784.8266841,USDC,784.83
3,pauliax,N-10,0,,1,1,1,0,USDC,0
3,pauliax,N-11,0,,1,1,1,0,USDC,0
3,pauliax,N-12,0,,1,1,1,0,USDC,0
3,pauliax,N-13,0,,1,1,1,0,USDC,0
3,pauliax,N-14,0,,1,1,1,0,USDC,0
3,pauliax,N-15,0,,1,1,1,0,USDC,0
3,pauliax,N-16,0,,1,1,1,0,USDC,0
3,pauliax,N-17,0,,1,1,1,0,USDC,0
3,pauliax,N-18,0,,1,1,1,0,USDC,0
3,pauliax,N-19,0,,1,1,1,0,USDC,0
3,pauliax,N-20,0,,1,1,1,0,USDC,0
3,pauliax,N-21,0,,1,1,1,0,USDC,0
3,pauliax,N-22,0,,1,1,1,0,USDC,0
3,cmichel,H-01,3,,10,1,10,2616.088947,USDC,2616.09
3,cmichel,H-02,3,,10,1,10,2616.088947,USDC,2616.09
3,cmichel,H-03,3,,10,1,10,2616.088947,USDC,2616.09
3,cmichel,H-05,3,,10,1,10,2616.088947,USDC,2616.09
3,cmichel,H-06,3,,10,1,10,2616.088947,USDC,2616.09
3,cmichel,H-07,3,,10,1,10,2616.088947,USDC,2616.09
3,cmichel,H-08,3,,10,1,10,2616.088947,USDC,2616.09
3,cmichel,L-01,1,,1,1,1,261.6088947,USDC,261.61
3,cmichel,L-02,1,,1,1,1,261.6088947,USDC,261.61
3,cmichel,M-01,2,,3,1,3,784.8266841,USDC,784.83
3,cmichel,M-02,2,,3,1,3,784.8266841,USDC,784.83
3,cmichel,N-01,0,,1,1,1,0,USDC,0
3,cmichel,N-02,0,,1,1,1,0,USDC,0
